ScientificName,USDACode,FamilyName,PrimaryGrowthForm,Lifespan,Clade,GrowthForm4Model,TissueType,IntroYear,DominantInvasionPathway,InvasiveRangeSize,HabitatBreadth,LocalAbundance,natrng,ClonalPropagation,RegenerativeCapacity,Range,pHMin,pHMax,HardinessZoneMin,HardinessZoneMax,SelfCompatible,SLA_m2kg1,SeedWeightMean_g,ElevationMin_m,ElevationMax_m,PrecipMin_in,PrecipMax_in,HeightMax_m,LeafWidthMax_cm,LeafLengthMax_cm,monoploid,holoploid,TissueTypeDummy,ResidenceTime
Crepis capillaris,CRCA3,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1849,,13,11,0,32,0,0,,5.476937432,7.908103909,7,10.43699317,0,42.2164184,0.24,0,1300,20,79,0.5695,4.5,30,2.1,4.200000001,1,177
Crepis tectorum,CRTE3,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1880,,28,11,1,48,,1,,5.453843745,7.984950954,7.146113072,10.81174614,1,17.2,0.27,100,1930.34843,21.72391152,103.33,1.02,15.24,2.54,3.399999998,6.800000002,1,146
Crotalaria pallida,CRPA10,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1919,,27,2,50,59,,,,4.916950928,8.314189069,8.019353557,11.06125901,,23.47437641,12.86,0,1690.612235,27.74997479,112.7,0.7,3,6,1.299999999,2.372798914,0,107
Crotalaria spectabilis,CRSP2,Fabaceae,Shrub,Annual,Angiosperm,Shrub,Herbaceous,1930,Escape,77,4,71,16,0,0,Short,4.8,8,9,11,,23.47437641,16.6,0,1500,35,110,1.5,5,15,1.496086388,4.572493414,1,96
Cruciata pedemontana,CRPE10,Rubiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1954,,16,9,0,33,,1,,5.483017305,7,5.519873195,9.647687815,,27.18733333,0.38,146.8532709,878.6826455,19.51947866,64.66,0.35,0.55,1.7,0.829598621,4.375492836,1,72
Cryptostegia madagascariensis,CRMA10,Apocynaceae,Vine/Shrub,Perennial,Angiosperm,Vine,Herbaceous,1904,Escape,7,3,4,1,,0,Long,5.520242104,7.38150218,10,11,,26.53529948,5.96,0,599.9999997,16,94,8.000000004,6.5,11.2,1.887035071,26.98987051,1,122
Cucumis melo,,Cucurbitaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1888,,5,4,0,32,,0,,6,8,2,11,,29.03121212,18.61,0,2199.999999,17.17630085,137.77,3.000000001,15.24,7.62,1,1.843550865,1,138
Cuphea carthagenensis,CUCA4,Lythraceae,Shrub,Annual,Angiosperm,Shrub,Herbaceous,1923,,21,7,0,32,,,,5.063617724,8.109923438,6.210921993,10.45598529,,25.69592314,0.7,0,1060,13.22057815,64.71,0.6,2.5,5.5,0.70161525,1.006460261,1,103
Cuscuta approximata,CUAP2,Cuscutaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1887,,6,4,0,62,,1,,5.879582051,7.770391528,5.624766837,10.17623457,,28.02022794,0.33,33.93244027,1500,12.64049913,58.24,3.265192962,6.89,11.24,1.005128093,3.677955553,1,139
Cuscuta epithymum,CUEP,Cuscutaceae,Forb/Vine,Perennial,Angiosperm,Vine,Herbaceous,1888,,4,4,0,57,1,1,,6.057784269,7.631885905,4.616577214,9.856656811,,28.02022794,0.31,2000.000001,1433.883747,6,43,3.849513322,5.58,8.86,0.671290129,2.723565221,1,138
Cynara cardunculus,CYCA,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1901,Escape,64,6,5744,14,,0,Long,6,8,7,10,1,14.67715,33.21,5.243225445,2280,16,34,2,30,200,2.214800157,7.724718006,1,125
Cynodon dactylon,CYDA,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1895,Escape,419,43,1040,153,1,1,Long,5,8,6,10,,30.928,0.26,0,2180,32,100,0.43,0.25,12.7,0.49,2.27,1,131
Cynosurus echinatus,CYEC,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1919,,59,10,181,,0,0,,5,7.9,7,10,,53.26960402,1.49,0,2160,19,113,0.6,1.4,23,3.875383421,11.74488629,1,107
Cyperus alternifolius subsp. flabelliformis,CYALF,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1921,,,,,,,,,6,8,8,12,,31.2308,0.302287097,0,800,20,400,1.83,2.54,40.64,,,1,105
Cyperus blepharoleptos,,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1800,,,,,58,,,,5.449158841,6.5,9.592332492,9.32354547,,31.2308,0.302287097,0,49.99999998,20.5,22.55101806,2.54250181,0.7,110,0.676963144,10.83754774,1,226
Cyperus brevifolioides,CYBR2,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1878,,,,,10,,,,5.473916198,7.60927556,7.675391401,9.923637126,,31.2308,0.302287097,0,1000,15.78709008,35.27,1.008170341,0.96,47.42,0.622947685,3.160706958,1,148
Cyperus brevifolius,CYBR,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1894,,,,,140,,,,5.6,7.5,10,10,,31.2308,0.18,0,2300,12,17,0.3,0.35,20,0.66899778,2.616816869,1,132
Cyperus difformis,,Cyperaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1895,,5,5,0,122,,1,,5.448898264,8.698185035,6.246464968,10.37245097,1,31.2308,0.03,0,2000,2,34,0.8,0.6,25,0.458015183,1.24087717,1,131
Cyperus entrerianus,CYEN2,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1989,,15,4,25,18,,1,,5.762306173,7.420468804,7.9357779,10.6775281,,31.2308,0.03,0,100,14.83676376,29.69,1.02,1.27,15.24,0.55449642,2.804076805,1,37
Cyperus esculentus,CYES,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1854,Contaminant,,,,171,,1,Long,5,8,8,10,,27.29,0.15,1219,2438,14,55,0.61,0.85,76.2,0.6,3.083481945,1,172
Cyperus haspan,CYHA,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1866,,,,,120,,1,,4.5,7.8,7.710400826,9.375142086,,31.2308,0.06,0,1700,35,60,0.98,0.4,100,0.4,1.685812357,1,160
Cyperus iria,CYIR,Cyperaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1888,Contaminant,10,7,0,81,,1,,6,8,4,9,,31.2308,0.18,0,500,14.50561336,28.74,0.8,2.54,15.24,0.8,2.195616873,1,138
Cyperus rotundus,CYRO,Cyperaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1850,Contaminant,35,11,60,151,,1,Long,6,8,3,10,,31.2308,0.24,0,400,7,32.93,0.9,0.85,38.1,0.5,1.410880592,1,176
Cytisus scoparius,CYSC4,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1878,Escape,297,30,10504,29,0,1,Long,5.5,7,6,10,0,12.45714517,8.78,0,2180,12,118,3.999999998,0.8,2,0.425,1.7,0,148
Cytisus striatus,CYST7,Cyperaceae,Shrub,Perennial,Angiosperm,Shrub,Herbaceous,1965,,18,8,55,3,,0,,5.4,6.9,9,10,0,12.45714517,7.77,0,1500,18,65,4.433267387,1.15,4.89,0.97,6.622506323,1,61
Dactylis glomerata,DAGL,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1902,Escape,516,64,392,84,1,1,Long,5,7.9,4,8,0,25.61809451,0.81,0,2690,17,113,2.099999999,1.4,45,3.3,7.699999995,1,124
Dactyloctenium aegyptium,DAAE,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1909,Contaminant,69,11,306,99,,1,Long,5.316704063,7,9,9,,3.6176,0.3,0,300,20,59,0.5,1.2,22,1.9,16.61697617,1,117
Dalbergia sissoo,DASI,Fabaceae,Tree,Perennial,Angiosperm,Tree,Woody,1927,,20,2,20,10,,1,,4.829349577,7.5,8.837232382,10.55813975,,19.60740667,41.79,0,1500,16,177,30.00000002,7,15,1.62,23.31384805,0,99
Daphne laureola,DALA11,Thymelaeaceae,Tree,Perennial,Angiosperm,Tree,Woody,1994,,34,7,411,20,0,0,,5.760388713,8.20263967,3.986557613,7.042046716,,9.235698,35.83,0,300,20.92326875,33.72,1.5,1.5,8,2.985000001,5.969999999,0,32
Daphne mezereum,DAME3,Thymelaeaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1897,,35,9,3,35,0,0,,5.819053499,8,4,7,,23.13249741,85.94,0,300,21.9295099,35.31,1.52,2.5,8,3.030000001,7.430000001,0,129
Datura stramonium,DAST,Solanaceae,Shrub,Annual,Angiosperm,Shrub,Herbaceous,1837,Contaminant,130,36,9,6,0,0,Long,5.720208639,8,8,10,1,25.93048495,8.09,0,2750,14,77,1.5,14,20,2.089999999,4.179999998,1,189
Daucus carota,DACA6,Apiaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1871,Contaminant,940,68,178,66,0,1,Long,5.5,8,2,11,,23.05459817,1.01,700,1200,18,24,1.5,15.24,25.4,0.47,0.94,1,155
Delairea odorata,DEOD,Asteraceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1892,Escape,54,4,1087,3,0,1,Long,4.866792822,6.401634798,9,11,0,21.76548373,5.651761754,0,1900.000001,14,14,8.000000004,8,8,1.520934554,13.49084914,1,134
Delphinium ajacis,DEAJ,Ranunculaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1806,,,,,24,0,0,,6,8,6,10,,12.28081732,1.93,0,2000,19.87108618,82.37,1,5,5.54,6.6,11.87285428,1,220
Deschampsia elongata,DEEL,Juncaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1902,,,,,26,,0,,6,8,5.139038761,8.93788531,,17.03877809,0.26,35.04331887,1808.996248,10,24,1.2,0.6,30,2.215292755,7.39373224,1,124
Descurainia sophia,DESO2,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1877,Contaminant,400,33,107,76,0,0,Long,5.121507104,7.831472838,5,10,1,27.053,0.13,0,3000.000001,6,59,1,6.35,15.24,0.1575,0.63,1,149
Desmodium incanum,,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Herbaceous,1913,,11,5,0,44,,1,,5,7,6.351845399,10.02833411,,18.70787138,4.47,0,2199.999999,39,118,3.049999999,4.5,9,1.260967428,4.088252394,1,113
Deutzia scabra,DESC4,Hydrangeaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1822,,12,7,1,1,,0,,,,5,8,,6.85451517,0.1,0,200,35,87,3,7.62,15.24,,,0,204
Dianthus armeria,DIAR,Caryophyllaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1816,,329,53,10,33,0,0,,6,8,3,8,,15.98142857,0.43,440,2600,20,93,0.61,0.32,7.62,0.55,2.035642662,1,210
Dianthus deltoides,,Caryophyllaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1879,,13,7,0,35,0,1,,6,8,3,8,,16.05,0.2,2151.395956,2639.765307,13.50061794,27.73,0.41,0.32,3.81,0.528118037,1.622337559,1,147
Digitalis lanata,DILA3,Scrophulariaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1918,,5,3,0,9,,1,,4.866643904,7.5,6.603231981,9.365211934,,21.98268951,0.38,0,1000,31.5348567,57.58,1.22,2,15,1.43,6.795665064,1,108
Digitalis purpurea,DIPU,Scrophulariaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1856,,170,33,288,12,0,1,,5,7,4,9,,17.57687714,0.08,2200.000001,3600,40,60,1.52,10,20,1.071417473,5.369092666,1,170
Digitaria ciliaris,DICI,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1903,Release,,,,91,,1,Long,5,7,3.905386968,10.41964922,,33.40644444,0.53,0,3000.000001,20,67,2,1,25,1.29,15.67401928,1,123
Digitaria ischaemum,,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1857,,58,21,9,53,0,0,,5.463675782,7.930356763,3.033473233,10.88978045,,41.86,0.48,0,2582.589456,9.849891204,71.69,0.46,0.64,10.16,0.752835929,2.470909872,1,169
Digitaria sanguinalis,DISA,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1810,Escape,109,34,22,71,0,0,Long,6,8,2,11,,35.038,0.49,0,2500,4,79,0.91,1.27,25.4,0.5,2.190000001,1,216
Digitaria violascens,DIVI2,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1916,,2,1,0,42,0,0,,5.382263008,7.888791141,3.4182641,10.69386943,,33.40644444,0.41,0,2500,11.07095802,68.98,0.6,0.7,25,0.82097363,3.343407961,1,110
Dioscorea bulbifera,DIBU,Dioscoreaceae,vine,Perennial,Angiosperm,Vine,Herbaceous,1939,Escape,140,17,1958,72,,,Short,6,6.7,9,12,,30.3,5.68,0,1630,31,118,21.32999998,25,26,1.2,31.74948492,1,87
Dioscorea oppositifolia,DIOP,Dioscoreaceae,Forb/Vine,Perennial,Angiosperm,Vine,Herbaceous,1965,,167,25,120,6,,1,,6,6.7,5,11,,30.3,14.74333333,0,1000,47,102,2.476834278,3.81,8,0.788158236,5.314894228,1,61
Dioscorea polystachya,,Dioscoreaceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1800,,,,,8,,,,6.297327431,6.68589311,5,10,,30.3,14.74333333,0,500,37.58975368,76.79,0.61,11.43,11.43,0.909548918,3.814737629,1,226
Dipsacus laciniatus,DILA4,Dipsacaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1941,,244,38,107,28,,0,,5.786118182,6.970000124,5.276958683,9.540593749,,36.74414933,3.49,8.687541921,1178.733518,28.75152552,54.12,2.129999999,10.16,40.64,3.320000002,25.89065014,1,85
Distimake tuberosus,,Convolvulaceae,Vine,Perennial,Angiosperm,Vine,Woody,1963,,,,,20,,,,6.1,7.8,9,12,,28.02022794,34.96579626,0,1400,19,196,15.00000001,11,12,1.594029249,14.2497183,0,63
Dittrichia graveolens,DIGR3,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1916,,77,7,1023,29,,0,,5.360294906,7.646425183,8,10,,18.5757433,0.34,0,699.9999996,12,75,1,2.54,15.24,1.444742604,2.833188807,1,110
Draba verna,DRVE2,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1845,,197,42,141,60,0,0,,5.2,8.4,6,10,1,20.674375,0.02,0,2500,12,87,0.2,1,3,0.4,0.649693046,1,181
Dracaena hyacinthoides,,Agavaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1961,,,,,10,,,,6.5,7.5,9,11,,18.3439,344.83,50.00000001,1050,20,39,0.5,8,85,14.44859527,194.8666454,1,65
Drymaria cordata,DRCO2,Caryophyllaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1895,Contaminant,,,,57,,,Long,6.1,7.8,6.577684573,9.750069765,,29.5361293,0.65,0,3099.999999,13.38792566,69.78,0.5,1.04,1,1.064013934,4.569515964,1,131
Dysphania ambrosioides,,Chenopodiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1753,,71,23,3,41,,,,5.275475001,8.294607087,5.007320146,9.548674585,,16.94797788,0.23,0,3600,12,98,1,3.81,10.16,0.2793,1.117,1,273
Dysphania pumilio,DYPU,Chenopodiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1901,,9,6,3,7,,0,,5.440707221,8.488842489,7,10,,16.94797788,0.07,0,3000.000001,15,61,0.595071766,1.3,2.7,0.313182352,0.908909606,1,125
Echinochloa colona,ECCO2,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1864,Escape,23,14,0,103,0,1,Long,4,8.5,8,10,,27.91,1,0,1750,12,60,0.6,0.7,20,1.389882194,3.399558133,1,162
Echinochloa crus-galli,ECCR,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1836,Escape,501,59,62,110,0,1,Long,4.044726032,8.013639291,7,10,,27.91,1.53,0,2500,7,71,1.83,2.54,60.96,1.4,7.198020629,1,190
Echium candicans,ECCA5,Boraginaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1945,,27,3,216,1,,0,,5.2,8.3,9,11,,22.01476852,3.756230769,0,1402,13,57,1.83,7.65,25,1.5337822,6.211926639,0,81
Echium vulgare,ECVU,Boraginaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1845,,122,28,1214,50,0,1,,6,8,4,8,,14.45,3.09,5,1517.601452,23,41,0.91,3.81,15.24,0.83,2.086388424,1,181
Eclipta prostrata,ECPR,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1800,Contaminant,,,,78,0,0,Long,5.2,7.9,10,12,,21.76548373,0.6,0,1900.000001,35,50,0.9,0.3,0.6,1.6,3.298530542,1,226
Ehrharta calycina,EHCA,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1905,Escape,19,3,305,5,,1,Long,5.3,8.3,9,11,,37.3134328,1.88,0,1370,13,69,0.75,0.7,20,2.394335221,12.45834719,1,121
Ehrharta erecta,EHER,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1939,Contaminant,34,5,2002,23,,,Long,5,8.3,9,10,,37.3134328,0.85,0,1350,13,67,1,1.5,20,2.29494575,12.36293114,1,87
Elaeagnus pungens,ELPU2,Elaeagnaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1909,,122,15,175,5,,1,,5.10172094,6.105396569,6,10,,17.4965,16,0,1000,20,118,8.034080008,5,10,0.962400753,3.158522719,0,117
Elaeagnus umbellata,ELUM,Elaeagnaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1879,Release,864,43,8913,12,,1,Long,4.8,6.5,4,9,,11.8482531,19.27,0,3099.999999,16,157,4.999999998,2.5,8,0.805,1.61,0,147
Eleusine indica,ELIN3,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1822,Release,59,24,4,98,,0,Long,5.8,8.4,9,10,,24.07,0.4,0,2000,8,79,0.4,0.8,15,0.7,1.4,1,204
Elodea densa,ELDE3,Hydrocharitaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1800,,,,,5,,1,,6,8,4.749500622,10.20369043,,36.02,1869.37651,0,2400,8.024415473,88.39,0.095206233,4.01,4.63,1.151823143,2.063159523,1,226
Elsholtzia ciliata,ELCI,Lamiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1909,,20,5,3,34,,0,,5.438745663,6.435175752,7.952643639,8.683087889,,28.70343763,0.23,981.8270287,1049.490592,27.25226426,38.36,8.000000004,3.5,10,0.715218316,10.61188316,1,117
Elymus repens,ELRE4,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1872,Escape,397,55,174,84,1,1,Long,5.2,7.8,6,9,,24.49793072,3.74,0,1619.999999,24,65,0.9,1,40,3.880000002,29.09000001,1,154
Elymus sibiricus,ELSI,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1980,,,,,38,,1,,5,7.2,6.529283165,9.577223317,1,49.84404722,2.66,2.213262917,1819.36341,24,55,1.5,5,30,8.300000002,108.169417,1,46
Emilia fosbergii,EMFO,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1929,Escape,20,4,5,31,,1,Long,5.011353361,6.616711982,5.955533021,9.398146387,1,21.76548373,5.651761754,0,100,15.36645822,25.38,1,10,5,1.483644613,7.397329488,1,97
Epilobium hirsutum,EPHI,Onagraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1829,,164,31,87,95,1,1,,4.907824344,7.8,8.288915256,9.166422509,,26.24355487,0.11,0,3000.000001,13.50058213,86.36,1.83,5,25,0.3,0.6,1,197
Epipactis helleborine,EPHE,Orchidaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1819,,243,31,28,72,1,1,,4,8.5,8,10,,28.0505835,0.01,0,1519.999999,18,67,1,7.62,15.24,13.8,60.1067499,1,207
Epipremnum pinnatum,EPPI,Araceae,Forb/Vine,Perennial,Angiosperm,Vine,Herbaceous,1930,Escape,27,2,107,38,,,Long,4,6,10,11,,26.25986536,58.53008,1.095931503,1463.802087,20,138,8.000000004,30,50,1.980964005,161.338194,1,96
Eragrostis cilianensis,ERCI,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1864,,54,20,4,118,,0,,5.6,7.8,6,10,,30.36736515,0.08,0,3500,8,45,0.9,0.7,40,1.199259348,5.4808339,1,162
Eragrostis cumingii,ERCU5,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1907,,,,,26,,,,5.389356469,7.5,7.393874071,9.708854586,,30.36736515,0.05,0,150,12.27448544,26.62,0.971946871,0.3,12,0.91023592,5.421045865,1,119
Eragrostis curvula,ERCU2,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1907,,65,16,427,20,,0,,4.5,8.5,6,9,,1.6043,0.22,0,3500,14,67,1.800000001,0.5,50,1.108712101,4.879110855,1,119
Eragrostis lehmanniana,ERLE,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1914,Release,43,6,57,11,,1,Long,5,8.5,4.114090992,8.771622917,,30.36736515,0.07,200,2300,4,14,0.9,0.35,25,0.603538619,1.772171226,1,112
Erechtites hieraciifolius,ERHI12,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,Contaminant,,,,81,,,Long,4.5,8,4.898568016,9.289298406,,21.76548373,0.33,0,1400,2,27.13,1,4,16,1.39600063,4.083492162,1,
Eremochloa ophiuroides,,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1900,Escape,28,6,259,6,,1,Long,5.8,8.4,7,10,,26.46470061,1.11,200,1200,30,59,0.3,0.4,10,0.83,3.763252446,1,126
Erica lusitanica,ERLU6,Ericaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1928,,7,2,9,3,,1,,5,6.5,9,9,,9.955357546,0.01,0,270,33,71,0.3,0.02,0.7,0.617793464,2.69765886,0,98
Erigeron bonariensis,ERBO4,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1873,,,,,39,0,0,,5.1,8.7,8,10,1,22.15608673,0.1,0,2230,9,59,1,0.5,15.24,0.564650795,1.270530843,1,153
Erigeron canadensis,ERCA20,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1817,,,,,91,,0,,5,8.8,6,10,1,22.15608673,0.05,0,2410.000001,9,85,2.129999999,1,10,0.45,0.9,1,209
Erodium botrys,,Geraniaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1902,Contaminant,75,7,70,23,0,1,Short,5,8.8,8,10,,26.05481109,10.66,0,1900.000001,11,75,0.24,3,10,1.033916023,1.2958871,1,124
Erodium cicutarium,ERCI6,Geraniaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1888,Contaminant,719,55,782,88,0,0,Short,5,8.8,6,10,,28.32082643,2.02,0,2810,8,111,0.5,3.5,15,1.2,1.715488661,1,138
Erodium moschatum,,Geraniaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1892,,45,5,27,33,0,0,,5,8.8,8,10,,28.29251538,2.62,0,1519.999999,11,101,0.539339049,4.02,15,1.133682945,2.029829881,1,134
Erucastrum gallicum,,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1906,,15,10,0,9,0,0,,5.318690594,8.532967388,4.446331335,10.77129368,1,12.218,1.4,0,2000,12.67589944,90.54,0.28,10.16,27.94,1.04,1.478897686,1,120
Erysimum cheiranthoides,,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1909,,67,21,0,55,0,0,,6,8,4,8,1,23.68893217,0.21,0,3000.000001,7.467043783,39.05,1.52,1.91,10.16,0.22,1.05,1,117
Erysimum repandum,,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1877,,22,11,4,33,,1,,6.2,8,6,8,1,19.8849062,0.26,0,2100,8,33,1.926267526,1.7,11,0.229390374,1.39725839,1,149
Erythrostemon gilliesii,,Fabaceae,Tree,Perennial,Angiosperm,Tree,Woody,,,,,,6,,,,7,8.5,8,11,,23.47437641,140.74,8.265951141,769.0157582,2,10,10.67,1.32,5.08,0.817291761,3.64570033,0,
Eschscholzia californica,ESCA2,Papaveraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1843,,,,,10,,1,,5.8,7.5,6,10,0,38.40417588,1.5,0,2260,10,93,0.37,7.62,7.62,1.099999999,2.371424321,1,183
Eucalyptus camaldulensis,EUCA2,Myrtaceae,Tree,Perennial,Angiosperm,Tree,Woody,1909,Escape,25,5,17,6,,1,Long,5,8.5,9,11,1,4.626768357,2.1,0,2800,6,98,49.99999997,2,30,0.62,3.837919558,0,117
Eucalyptus globulus,EUGL,Myrtaceae,Tree,Perennial,Angiosperm,Tree,Woody,1916,Escape,47,5,336,2,,1,Long,5,6.8,9,11,,6.219137053,37.36,1500.000001,2900,21,60,49.99999997,4,30,0.55,7.05092235,0,110
Eulophia maculata,,Orchidaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1974,,,,,31,,,,4.630534786,8.356943789,7.191362965,9.940287829,,27.57378476,12.4425694,0,749.9999997,19.51271039,56.18,0.4,5,30,5.928787272,16.84701666,1,52
Euonymus alatus,EUAL13,Celastraceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1905,,375,34,830,15,,1,,5,7.5,4,8,,11.9097623,16.34,0,400,35,55,7.000000004,3.81,7.62,0.65,3.846391302,0,121
Euonymus europaeus,EUEU7,Celastraceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1822,,39,17,2,37,1,1,,6,8,3,7,,11.9097623,38.95,0,300,32.66888324,40.73,6.099999998,7.62,7.62,0.47,1.880000001,0,204
Euonymus fortunei,EUFO5,Celastraceae,Vine/Shrub,Perennial,Angiosperm,Vine,Woody,1931,Escape,244,36,240,22,,1,Long,5,7.5,4,9,,11.9097623,13.12,750.0000002,4000.000001,37,54,21.99999999,4.5,6,0.542200178,4.246808152,0,95
Euphorbia cyparissias,EUCY2,Euphorbiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1873,,242,32,89,31,1,1,,5.234073702,7.524630036,4,8,,26.278,1.44,0,1500,16,31,0.3,2.54,7.62,1.11,2.030340493,1,153
Euphorbia dentata,EUDE16,Euphorbiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,,,,,17,,,,5.263164524,7.753446824,5.000454129,9.850408661,,41.37478777,4.98,0,1000,18.84964693,72.59,0.4,2.2,4.17,0.781725713,1.513086573,1,
Euphorbia hirta,EUHI,Euphorbiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,,,,,55,,,,5.109815807,7.9,4.872813351,9.612032041,,41.37478777,0.08,0,1500,17.23749392,76.48,0.5,1.5,4,0.7,1.383056375,1,
Euphorbia lathyris,,Euphorbiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1830,,63,15,17,3,0,0,,5.1,8.2,1,11,,25.10333333,40.3,0,1800,13,73,0.66,2.54,15.24,1.038327367,1.51941403,1,196
Euphorbia maculata,EUMA14,Euphorbiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,,,,,54,,,,5.2783017,7.949067931,4.365148082,10.02087847,,41.37478777,0.33,0,1500,17.07879354,81.65,0.3,2.54,2.54,0.749845207,1.131022289,1,
Euphorbia myrsinites,EUMY2,Euphorbiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1966,,97,20,114,17,,,,5.087082734,7.895038885,5,9,,41.37478777,2.1,0,2400,19,57,0.3,1.91,3,2.02,3.635636288,1,60
